81.150	E
81.233	J
81.317	C
81.450	E
81.500	C
81.517	D
81.533	H
81.550	E
81.567	K
81.583	D
81.617	K
81.750	J
81.900	E
82.133	J
82.217	C
82.250	D
82.317	K
82.650	D
83.000	H
83.017	B
83.083	C
83.217	D
83.250	E
83.400	F
83.467	C
83.500	F
83.600	I
83.700	J
83.850	C
83.967	E
84.067	K
84.083	E
84.467	F
84.700	A
84.817	X
84.950	J
85.017	X
85.250	I
85.350	A
85.450	X
85.567	I
85.617	A
85.717	I
85.733	J
85.900	E
86.083	J
86.233	E
86.383	K
86.600	E
86.717	K
86.800	E
86.900	D
87.167	I
87.467	B
87.517	X
87.567	J
87.767	X
87.850	J
87.883	I
88.017	A
88.100	H
88.133	X
88.233	C
88.250	F
88.800	I
88.850	C
89.000	D
89.300	F
89.633	J
89.800	I
89.867	H
90.017	J
90.033	X
90.067	H
90.100	I
90.317	J
90.433	I
90.567	J
90.817	I
91.117	B
91.133	I
91.200	A
91.433	X
91.667	J
91.867	X
92.117	F
92.383	I
92.517	B
92.617	X
92.650	A
92.667	H
92.683	F
93.150	A
93.300	X
93.350	A
93.367	I
93.400	F
93.467	A
93.533	F
93.700	I
93.867	B
93.900	J
94.033	I
94.067	C
94.267	A
95.617	X
